station_id,time_sign,x,y,tno2,temp,et,sp,tp,wd,ws,pop,building,road,ndvi,NO2
11,444,114.1820905,22.3764958,113.470047,296.0257568,-0.036368467,99977.53125,0.0017628,154.5278473,2.343535423,146.5195313,3542057.5,5773.041016,4131,30
12,444,114.16871,22.322169,124.8822098,296.0008545,-0.035359595,100013.2109,0.001352683,158.3298187,2.421098948,747.2966919,14594804,7989.836426,4947,63
13,444,114.1412676,22.2848775,124.5199356,296.0597229,-0.02500925,100084.9688,0.000797829,157.9306641,2.428405285,878.6085205,9484429,7007.274414,2899,40
14,444,114.1573973,22.2475352,77.35735321,296.0472107,-0.024530886,100156.75,0.00052329,161.3264465,2.515405893,65.48966217,3044803.5,3876.920654,4492,17
15,444,114.2167934,22.2827772,79.79832458,295.9571228,-0.036482934,100147.2734,0.001069554,163.823761,2.558244228,1421.89978,2995995.75,4814.834961,8664,37
16,444,113.9405757,22.2885187,116.7849579,296.5682068,-0.014574688,100408.0469,0.000396337,145.363678,2.442793608,45.69812012,965836.125,4032.332031,5153,24
17,444,114.1805181,22.2801689,95.95571136,296.0018311,-0.035964642,100103.6016,0.001024669,161.8092041,2.514240742,429.8672791,7206084,6894.862305,4082,60
18,444,114.1565745,22.2820584,112.2566452,296.0377197,-0.028819317,100094.3828,0.000866423,159.4814758,2.463109016,83.59503174,8509086,8754.413086,1395,68
1,445,114.0201883,22.4449437,269.629303,297.2469482,-0.008590976,100359.3281,9.38E-05,-139.26651,0.545363605,47.30091095,3953495.75,4815.681152,2296,47
3,445,114.1258166,22.4969545,252.7835083,297.203949,-0.032087281,100185.9922,0.000294654,-153.4797668,0.611374855,156.3011627,3624076.25,5897.47168,4068,44
4,445,114.3581838,22.4712708,117.2673416,296.5776062,-0.014364055,100444.5313,0.000199486,-153.6473389,1.164862037,2.127234221,199027.9844,417.5441284,-3000,9
5,445,114.2286697,22.309823,178.5895538,296.5048523,-0.039083786,100136.1797,0.000401629,-155.6781311,1.207652807,571.750061,3221332.75,5677.513184,2984,61
6,445,114.1572091,22.3310969,221.8667908,296.6173096,-0.040659714,99976.46875,0.000473377,-159.4730225,0.970987141,557.522583,10587726,6553.90625,4771,55
7,445,114.1269531,22.3568159,236.0866394,296.7175598,-0.043928437,99964.14844,0.00053398,-161.6422424,0.83464551,231.998703,2478207,5969.117676,3415,69
8,445,114.1120975,22.3716276,238.2348175,296.8159485,-0.042423394,99994.71094,0.000513064,-161.6802368,0.766433179,672.036499,5056594,6791.028809,2844,46
9,445,114.256814,22.3182558,163.9229889,296.4693604,-0.035703655,100268.5,0.000343958,-154.4391632,1.289016128,407.3021851,1751836.5,4787.187988,5178,37
11,445,114.1820905,22.3764958,248.5042725,296.6310425,-0.042581212,99955.5,0.000481878,-158.7169189,0.951638103,146.5195313,3542057.5,5773.041016,4131,55
12,445,114.16871,22.322169,212.3968658,296.5951538,-0.040431261,99990.25781,0.000459332,-158.6551361,1.01648581,747.2966919,14594804,7989.836426,4947,83
13,445,114.1412676,22.2848775,201.0413971,296.6617737,-0.027978305,100062.4219,0.000309793,-158.4802094,0.987226009,878.6085205,9484429,7007.274414,2899,60
14,445,114.1573973,22.2475352,154.3973999,296.6423645,-0.025818797,100133.1719,0.000253589,-156.6378326,1.088696361,65.48966217,3044803.5,3876.920654,4492,33
15,445,114.2167934,22.2827772,153.4599609,296.539856,-0.039942719,100122.3906,0.000407204,-155.8042603,1.197553754,1421.89978,2995995.75,4814.834961,8664,43
16,445,113.9405757,22.2885187,159.316803,297.1057739,-0.01656522,100391.7734,0.000266935,-152.0019531,0.590267539,45.69812012,965836.125,4032.332031,5153,32
17,445,114.1805181,22.2801689,170.1742249,296.5921326,-0.039141566,100079.6719,0.000408199,-156.861145,1.11459291,429.8672791,7206084,6894.862305,4082,81
18,445,114.1565745,22.2820584,186.3032074,296.6350098,-0.03177784,100071.2891,0.000341256,-157.7969666,1.038059831,83.59503174,8509086,8754.413086,1395,82
1,447,114.0201883,22.4449437,128.2498016,290.6078796,-0.00711826,101456.8984,0.000590703,-129.4581299,3.951365948,47.30091095,3953495.75,4815.681152,2061,30
3,447,114.1258166,22.4969545,116.2540283,290.3856812,-0.017853025,101278.1328,0.002122938,-128.8539429,3.586542845,156.3011627,3624076.25,5897.47168,4393,31
4,447,114.3581838,22.4712708,83.89203644,290.4863281,-0.00703563,101537.1484,0.002113657,-133.1321106,4.174230576,2.127234221,199027.9844,417.5441284,-3000,11
5,447,114.2286697,22.309823,87.00883484,290.7623901,-0.047093328,101212.6016,0.005837949,-136.9459229,4.873797417,571.750061,3221332.75,5677.513184,3076,39
6,447,114.1572091,22.3310969,103.1713181,290.6629639,-0.039434455,101049.7969,0.004486852,-135.0720825,4.439294338,557.522583,10587726,6553.90625,3978,35
7,447,114.1269531,22.3568159,112.1593323,290.6128845,-0.043186724,101038.9609,0.003861085,-133.761322,4.177022457,231.998703,2478207,5969.117676,3131,49
8,447,114.1120975,22.3716276,116.5596695,290.5932922,-0.040807202,101072.0234,0.003363147,-132.9669952,4.057750225,672.036499,5056594,6791.028809,2641,35
9,447,114.256814,22.3182558,82.79624939,290.7809753,-0.053610656,101349.3516,0.006115685,-137.2331696,4.96758604,407.3021851,1751836.5,4787.187988,4392,18
10,447,113.9742504,22.3911527,123.1392746,290.8213806,-0.032669701,101590.7891,0.001494227,-130.7430725,4.248291492,297.4996643,2375346.5,5116.151367,2470,37
11,447,114.1820905,22.3764958,103.5843964,290.5465393,-0.034114376,101029.9375,0.004595694,-133.9846649,4.241696358,146.5195313,3542057.5,5773.041016,4220,24
12,447,114.16871,22.322169,100.0618057,290.685791,-0.03944644,101063.4453,0.004778702,-135.5120697,4.536524296,747.2966919,14594804,7989.836426,3419,48
13,447,114.1412676,22.2848775,99.77463531,290.751709,-0.030283913,101138.0234,0.003248695,-135.5654602,4.603730202,878.6085205,9484429,7007.274414,4307,34
14,447,114.1573973,22.2475352,92.32067871,290.850708,-0.03153694,101209.4922,0.003603859,-136.7758636,4.895338058,65.48966217,3044803.5,3876.920654,3862,31
15,447,114.2167934,22.2827772,85.82259369,290.8198547,-0.046336267,101197.6094,0.005646131,-137.342392,4.971030712,1421.89978,2995995.75,4814.834961,3987,29
16,447,113.9405757,22.2885187,110.5843582,291.0087891,-0.016218901,101481.0156,0.001499635,-132.0259094,4.594986439,45.69812012,965836.125,4032.332031,2928,26
17,447,114.1805181,22.2801689,92.24794769,290.8066406,-0.043332946,101154.0781,0.005201704,-136.8020325,4.857610703,429.8672791,7206084,6894.862305,3435,73
18,447,114.1565745,22.2820584,96.78837585,290.775116,-0.034833666,101146.4844,0.003963263,-136.0634003,4.707584381,83.59503174,8509086,8754.413086,3485,72
1,449,114.0201883,22.4449437,308.2600403,293.6021118,-0.007272228,100795.1797,0.000600149,-81.45883179,1.019774556,47.30091095,3953495.75,4815.681152,2061,73
3,449,114.1258166,22.4969545,288.7965088,293.4434509,-0.027428556,100618.1484,0.002303581,-81.95233154,0.80593437,156.3011627,3624076.25,5897.47168,4393,72
4,449,114.3581838,22.4712708,133.5758514,293.3635254,-0.01295501,100875.8438,0.000731825,-89.7627182,0.616035581,2.127234221,199027.9844,417.5441284,-3000,24
5,449,114.2286697,22.309823,212.2948456,293.6214905,-0.0310628,100565.5156,0.000802626,-130.3062744,0.971679807,571.750061,3221332.75,5677.513184,3076,98
6,449,114.1572091,22.3310969,241.8683624,293.612854,-0.031326294,100403.6172,0.001139314,-114.583519,0.893474877,557.522583,10587726,6553.90625,3978,86
7,449,114.1269531,22.3568159,253.3357544,293.6118164,-0.034865305,100391.3984,0.001588027,-104.2728195,0.866776168,231.998703,2478207,5969.117676,3131,108
8,449,114.1120975,22.3716276,257.7287903,293.6190491,-0.033948008,100422.8125,0.001726137,-98.49636841,0.867931902,672.036499,5056594,6791.028809,2641,73
9,449,114.256814,22.3182558,196.7295227,293.6037903,-0.03152461,100699.625,0.000770042,-135.3422241,0.995088696,407.3021851,1751836.5,4787.187988,4392,51
10,449,113.9742504,22.3911527,328.0328369,293.7702026,-0.025038026,100929.5391,0.004435364,-85.01334381,1.10884285,297.4996643,2375346.5,5116.151367,2470,80
11,449,114.1820905,22.3764958,230.1607666,293.4937134,-0.032287832,100381.8984,0.001245575,-112.5231094,0.80533582,146.5195313,3542057.5,5773.041016,4220,82
12,449,114.16871,22.322169,239.0785828,293.6188049,-0.030722156,100417.5938,0.001026221,-117.7501144,0.909169972,747.2966919,14594804,7989.836426,3419,124
13,449,114.1412676,22.2848775,247.6268921,293.6786499,-0.021035416,100491.4063,0.000732233,-115.0774765,0.965186894,878.6085205,9484429,7007.274414,4307,75
14,449,114.1573973,22.2475352,242.0901184,293.7332764,-0.018279472,100563.5469,0.000474442,-121.4526062,1.040515661,65.48966217,3044803.5,3876.920654,3862,61
15,449,114.2167934,22.2827772,218.7711487,293.6790161,-0.029649483,100551.9922,0.000776226,-129.1125793,1.013997674,1421.89978,2995995.75,4814.834961,3987,61
16,449,113.9405757,22.2885187,309.1667175,294.0232544,-0.016722627,100827.4609,0.001408246,-89.76863098,1.256054401,45.69812012,965836.125,4032.332031,2928,54
17,449,114.1805181,22.2801689,235.7108917,293.6932373,-0.028493457,100508.8438,0.000803782,-123.5568466,1.003096461,429.8672791,7206084,6894.862305,3435,134
18,449,114.1565745,22.2820584,243.1459351,293.6854248,-0.023499381,100500.3906,0.000739874,-118.4687424,0.981470048,83.59503174,8509086,8754.413086,3485,133
